MPN,Price_Qty,Unit_Price,MFG_Name,Supplier_Name,MFG_Lead_Time,On_Hand_Stock,Stock_Per_Price_Break,Packaging_Type,Date_Code,COO,MOQ,Currency,Main_Category,Distributor_Block,Disti_Part_Number,Region,scrape_time
ZL30244LFF7,4000,$14.3500,Microchip Technology Inc,DigiKey,15 weeks,0,0,Reel,,,4000,USD,Signal Circuits,DigiKey,ZL30244LFF7TR-ND,,2026-01-17 11:55
ZL30244LFF7,4000,$14.3500,Microchip Technology Inc,Mouser Electronics,,0,0,,,,,USD,Signal Circuits,Mouser Electronics,579-ZL30244LFF7,,2026-01-17 11:55
ZL30244LFF7,,,Microchip Technology Inc,Microchip Technology Inc,,0,0,Reel,,Taiwan ECCN,,,Signal Circuits,Microchip Technology Inc,ZL30244LFF7,,2026-01-17 11:55
ZL30244LFF7,4000,$14.5500,Microchip Technology Inc,Onlinecomponentscom,,0,0,,,Taiwan,,USD,Signal Circuits,Onlinecomponents.com,,,2026-01-17 11:55
ZL30244LFF7,3000,$14.8500,Microchip Technology Inc,Onlinecomponentscom,,0,0,,,Taiwan,,USD,Signal Circuits,Onlinecomponents.com,,,2026-01-17 11:55
ZL30244LFF7,2000,$21.8100,Microchip Technology Inc,Onlinecomponentscom,,0,0,,,Taiwan,,USD,Signal Circuits,Onlinecomponents.com,,,2026-01-17 11:55
ZL30244LFF7,4000,$14.5500,Microchip Technology Inc,Master Electronics,,0,0,,,Taiwan,,USD,Signal Circuits,Master Electronics,,,2026-01-17 11:55
ZL30244LFF7,3000,$14.8500,Microchip Technology Inc,Master Electronics,,0,0,,,Taiwan,,USD,Signal Circuits,Master Electronics,,,2026-01-17 11:55
ZL30244LFF7,2000,$21.8100,Microchip Technology Inc,Master Electronics,,0,0,,,Taiwan,,USD,Signal Circuits,Master Electronics,,,2026-01-17 11:55
ZL30244LFF7,64000,$15.3258,Microchip Technology Inc,Avnet Americas,,0,0,Reel,,Taiwan,4000,USD,Signal Circuits,Avnet Americas,ZL30244LFF7,,2026-01-17 11:55
ZL30244LFF7,32000,$15.6128,Microchip Technology Inc,Avnet Americas,,0,0,Reel,,Taiwan,4000,USD,Signal Circuits,Avnet Americas,ZL30244LFF7,,2026-01-17 11:55
ZL30244LFF7,16000,$16.3016,Microchip Technology Inc,Avnet Americas,,0,0,Reel,,Taiwan,4000,USD,Signal Circuits,Avnet Americas,ZL30244LFF7,,2026-01-17 11:55
SWT-M-44-A5-B5-T7-ST-H,,,Central Components Manufacturing,Bristol Electronics,,21,21,,,,,,Switches,Bristol Electronics,,,2026-01-17 11:55
PGA190,,,Advanced Interconnections Corp,DigiKey,,2000,2000,,,,,,Sockets,DigiKey,3157-PGA-105-TR-ND,,2026-01-17 11:55
PGA190,,,Advanced Interconnections Corp,element14,,6,6,,,,,,Sockets,element14,4286857,,2026-01-17 11:55
PGA190,1,₹2074.2200,Advanced Interconnections Corp,element14 Asia-Pacific,,56,56,Each,,China,1,INR,Sockets,element14 Asia-Pacific,2915116,,2026-01-17 11:55
PGA190,3,₹2015.1600,Advanced Interconnections Corp,element14 Asia-Pacific,,56,56,Each,,China,1,INR,Sockets,element14 Asia-Pacific,2915116,,2026-01-17 11:55
JESD-609,500,$0.8600,Schurter Electronic Components,TME,,8219,8219,,,,1,USD,Circuit Protection,TME,JE-109DM,,2026-01-17 11:55
JESD-609,100,$0.9100,Schurter Electronic Components,TME,,8219,8219,,,,1,USD,Circuit Protection,TME,JE-109DM,,2026-01-17 11:55
JESD-609,20,$0.9800,Schurter Electronic Components,TME,,8219,8219,,,,1,USD,Circuit Protection,TME,JE-109DM,,2026-01-17 11:55
JESD-609,500,$0.8100,Schurter Electronic Components,TME,,1389,1389,,,,1,USD,Circuit Protection,TME,JE-109D,,2026-01-17 11:55
JESD-609,100,$0.8800,Schurter Electronic Components,TME,,1389,1389,,,,1,USD,Circuit Protection,TME,JE-109D,,2026-01-17 11:55
JESD-609,20,$0.9400,Schurter Electronic Components,TME,,1389,1389,,,,1,USD,Circuit Protection,TME,JE-109D,,2026-01-17 11:55
1KS326-85GG,100,$3.7002,Advanced Interconnections Corp,DigiKey,20 weeks,0,0,Bulk,,,100,USD,Sockets,DigiKey,882-1KS0316-ND,,2026-01-17 11:55
1KS326-85GG,1,$5.0800,Advanced Interconnections Corp,Mouser Electronics,,115,115,,,,,USD,Sockets,Mouser Electronics,642-1KS0316,,2026-01-17 11:55
1KS326-85GG,10,$4.5300,Advanced Interconnections Corp,Mouser Electronics,,115,115,,,,,USD,Sockets,Mouser Electronics,642-1KS0316,,2026-01-17 11:55
1KS326-85GG,20,$4.2900,Advanced Interconnections Corp,Mouser Electronics,,115,115,,,,,USD,Sockets,Mouser Electronics,642-1KS0316,,2026-01-17 11:55
1KS326-85GG,5000,$2.3000,Advanced Interconnections Corp,Onlinecomponentscom,,0,0,,,Denmark,,USD,Sockets,Onlinecomponents.com,,,2026-01-17 11:55
1KS326-85GG,2500,$2.4800,Advanced Interconnections Corp,Onlinecomponentscom,,0,0,,,Denmark,,USD,Sockets,Onlinecomponents.com,,,2026-01-17 11:55
1KS326-85GG,1000,$2.6400,Advanced Interconnections Corp,Onlinecomponentscom,,0,0,,,Denmark,,USD,Sockets,Onlinecomponents.com,,,2026-01-17 11:55
1KS326-85GG,5000,$2.3000,Advanced Interconnections Corp,Master Electronics,,0,0,,,Denmark,,USD,Sockets,Master Electronics,,,2026-01-17 11:55
1KS326-85GG,2500,$2.4800,Advanced Interconnections Corp,Master Electronics,,0,0,,,Denmark,,USD,Sockets,Master Electronics,,,2026-01-17 11:55
1KS326-85GG,1000,$2.6400,Advanced Interconnections Corp,Master Electronics,,0,0,,,Denmark,,USD,Sockets,Master Electronics,,,2026-01-17 11:55
FX-427-DPC-K7TNB,,,Microchip Technology Inc,L-com US,,129,129,,,,,,Signal Circuits,L-com US,TRD855HFX-40,,2026-01-17 11:55
FX-427-DPC-K7TNB,,,Microchip Technology Inc,element14,,25000,25000,,,,,,Signal Circuits,element14,4158395,,2026-01-17 11:55
